university,course_dept,course_number,course_title,description,professors,recent_semesters,credits,url
stanford,CS,244,CS 244 - Advanced Topics in Networking,"Classic papers, new ideas, and research papers in networking. Architectural principles: why the Internet was designed this way? Congestion control. Wireless and mobility; software-defined networks (SDN) and network virtualization; content distribution networks; packet switching; data-center networks. Prerequisite: 144 or equivalent. Class Notes: May be taken for 3 units by graduate students.",Nick Mckeown; K. Winstein,"Fall 2020, Spring 2020, Spring 2019, Spring 2018",,https://www.coursicle.com/stanford/courses/CS/244/
stanford,CS,244B,CS 244B - Distributed Systems,"Distributed operating systems and applications issues, emphasizing high-level protocols and distributed state sharing as the key technologies. Topics: distributed shared memory, object-oriented distributed system design, distributed directory services, atomic transactions and time synchronization, application-sufficient consistency, file access, process scheduling, process migration, and storage/communication abstractions on distribution, scale, robustness in the face of failure, and security. Prerequisites: CS 144.",David Mazieres; D. Mazieres,"Fall 2020, Spring 2020, Fall 2017",3,https://www.coursicle.com/stanford/courses/CS/244B/
stanford,CS,245,CS 245 - Principles of Data-Intensive Systems,,Matei Zaharia; M. Zaharia,"Winter 2020, Spring 2019",,https://www.coursicle.com/stanford/courses/CS/245/
stanford,CS,246,CS 246 - Mining Massive Data Sets,,Jure Leskovec; J. Leskovec,"Winter 2020, Winter 2017",,https://www.coursicle.com/stanford/courses/CS/246/
stanford,CS,246H,CS 246H - Mining Massive Data Sets Hadoop Lab,,D. Templeton,Winter 2017,,https://www.coursicle.com/stanford/courses/CS/246H/
stanford,CS,247,CS 247 - Human-Computer Interaction Design Studio,"Project-based focus on interaction design process, especially early-stage design and rapid prototyping. Methods used in interaction design including needs analysis, user observation, sketching, concept generation, scenario building, and evaluation. Prerequisites: 147 or equivalent background in design thinking; 106B or equivalent background in programming. Recommended: CS 142 or equivalent background in web programming. Class Notes: Attendance required.",J. Stanford; C. Wodtke; M. Agrawala; M. Bernstein,"Spring 2019, Spring 2018, Winter 2017",,https://www.coursicle.com/stanford/courses/CS/247/
stanford,CS,247A,CS 247A - Design for Artificial Intelligence,,Julie Stanford,Spring 2020,,https://www.coursicle.com/stanford/courses/CS/247A/
stanford,CS,247G,CS 247G - Introduction to Game Design,,Christina Wodtke,"Fall 2020, Spring 2020",,https://www.coursicle.com/stanford/courses/CS/247G/
stanford,CS,247I,CS 247I - Design for Understanding,,C. Wodtke,Fall 2019,,https://www.coursicle.com/stanford/courses/CS/247I/
stanford,CS,247S,CS 247S - Service Design,,Julie Stanford,Winter 2020,,https://www.coursicle.com/stanford/courses/CS/247S/
stanford,CS,248,CS 248 - Interactive Computer Graphics,"This is the second course in the computer graphics sequence, and as such it assumes a strong familiarity with rendering and image creation. The course has a strong focus on computational geometry, animation, and simulation. Topics include splines, implicit surfaces, geometric modeling, collision detection, animation curves, particle systems and crowds, character animation, articulation, skinning, motion capture and editing, rigid and deformable bodies, and fluid simulation. As a final project, students implement an interactive video game utilizing various concepts covered in the class. Games may be designed on mobile devices, in a client/server/browser environment, or on a standard personal computer. Prerequisite: CS148. Class Notes: Graduate students may take this course for 3 units.",Kayvon Fatahalian; K. Fatahalian; R. Fedkiw,"Winter 2020, Spring 2018, Winter 2017",,https://www.coursicle.com/stanford/courses/CS/248/
stanford,CS,250,CS 250 - Algebraic Error Correcting Codes,,M. Wootters,Winter 2017,,https://www.coursicle.com/stanford/courses/CS/250/
stanford,CS,251,CS 251 - Cryptocurrencies and blockchain technologies,,D. Boneh,"Fall 2019, Fall 2018",,https://www.coursicle.com/stanford/courses/CS/251/
stanford,CS,252,CS 252 - Analysis of Boolean Functions,,L. Tan,Fall 2018,,https://www.coursicle.com/stanford/courses/CS/252/
stanford,CS,253,CS 253 - Web Security,,F. Aboukhadijeh,Fall 2019,,https://www.coursicle.com/stanford/courses/CS/253/
stanford,CS,254,CS 254 - Computational Complexity,,Li-Yang Tan,Winter 2020,,https://www.coursicle.com/stanford/courses/CS/254/
stanford,CS,254B,CS 254B - Computational Complexity II,,Li-Yang Tan,"Fall 2020, Spring 2020",,https://www.coursicle.com/stanford/courses/CS/254B/
stanford,CS,255,CS 255 - Introduction to Cryptography,,Dan Boneh; D. Boneh,"Winter 2020, Winter 2017",,https://www.coursicle.com/stanford/courses/CS/255/
stanford,CS,257,CS 257 - Logic and Artificial Intelligence,,T. Icard,Winter 2017,,https://www.coursicle.com/stanford/courses/CS/257/
stanford,CS,259Q,CS 259Q - Quantum Computing,,Aviad Rubinstein,Winter 2020,,https://www.coursicle.com/stanford/courses/CS/259Q/
stanford,CS,260,CS 260 - Geometry of Polynomials in Algorithm Design,,Nima Ahmadipouranari,Winter 2020,,https://www.coursicle.com/stanford/courses/CS/260/
stanford,CS,265,CS 265 - Randomized Algorithms and Probabilistic Analysis,"Randomness pervades the natural processes around us, from the formation of networks, to genetic recombination, to quantum physics. Randomness is also a powerful tool that can be leveraged to create algorithms and data structures which, in many cases, are more efficient and simpler than their deterministic counterparts. This course covers the key tools of probabilistic analysis, and application of these tools to understand the behaviors of random processes and algorithms. Emphasis is on theoretical foundations, though we will apply this theory broadly, discussing applications in machine learning and data analysis, networking, and systems. Topics include tail bounds, the probabilistic method, Markov chains, and martingales, with applications to analyzing random graphs, metric embeddings, random walks, and a host of powerful and elegant randomized algorithms. Prerequisites: CS 161 and STAT 116, or equivalents and instructor consent.",G. Valiant,"Fall 2019, Fall 2018, Fall 2017",3,https://www.coursicle.com/stanford/courses/CS/265/
stanford,CS,43,CS 43 - Functional Programming in Clojure,,J. Cain,Winter 2017,,https://www.coursicle.com/stanford/courses/CS/43/
stanford,CS,261,CS 261 - Optimization and Algorithmic Paradigms,,Moses Charikar; M. Charikar,"Winter 2020, Winter 2017",,https://www.coursicle.com/stanford/courses/CS/261/
stanford,CS,269I,CS 269I - Incentives in Computer Science,,T. Roughgarden,Fall 2018,,https://www.coursicle.com/stanford/courses/CS/269I/
